id_ligne	kpi_name	edw_group_table	kpi_label	comment	kpi_formula	pourcentage	on_off	value_type	new_field	visible	numerator_denominator	kpi_type
kpis.0071.01.01254	CELL_DOWNTIME_SYSTEM_DURATION	edw_eriran_cellb_axe1	CELL DOWNTIME SYSTEM DURATION	Capture period during which the cell was unavailable for service due to system (fault) 	pmCellDowntimeAuto	0	1	customisateur	1	1	total	float4
kpis.0071.01.01045	HS_AVAILABILITY	edw_eriran_cellb_axe1	HSDPA SERVICE AVAILABILITY	Percentage of the capture period during which the Hsdsch service was available for service on the cell 	CASE WHEN (capture_duration_real-pmHsDowntimeMan-pmHsDowntimeAuto)/capture_duration_real*100>100 THEN 100 ELSE CASE WHEN (capture_duration_real-pmHsDowntimeMan-pmHsDowntimeAuto)/capture_duration_real*100<0 THEN 0 ELSE (capture_duration_real-pmHsDowntimeMan-pmHsDowntimeAuto)/capture_duration_real*100 END END	1	1	customisateur	1	1	total	float4
kpis.0071.01.01046	CELL_HS_DOWNTIME_MANUAL	edw_eriran_cellb_axe1	CELL HSDPA DOWNTIME MANUAL	Percentage of the capture period during which the Hsdsch service in the cell is unavailable due to manual 	CASE WHEN pmHsDowntimeMan/capture_duration_real*100>100 THEN 100 ELSE pmHsDowntimeMan/capture_duration_real*100 END	1	1	customisateur	1	1	total	float4
kpis.0071.01.01255	CELL_HS_DOWNTIME_MANUAL_DURATION	edw_eriran_cellb_axe1	CELL HSDPA DOWNTIME MANUAL DURATION	Capture period during which the Hsdsch service in the cell is unavailable due to manual 	pmHsDowntimeMan	0	1	customisateur	1	1	total	float4
kpis.0071.01.01047	CELL_HS_DOWNTIME_SYSTEM	edw_eriran_cellb_axe1	CELL HSDPA DOWNTIME SYSTEM	Percentage of the capture period during which the Hsdsch service in the cell is unavailable due to system (fault) 	CASE WHEN pmHsDowntimeAuto/capture_duration_real*100>100 THEN 100 ELSE pmHsDowntimeAuto/capture_duration_real*100 END	1	1	customisateur	1	1	total	float4
kpis.0071.01.01256	CELL_HS_DOWNTIME_SYSTEM_DURATION	edw_eriran_cellb_axe1	CELL HSDPA DOWNTIME SYSTEM DURATION	Capture period during which the Hsdsch service in the cell is unavailable due to system (fault) 	pmHsDowntimeAuto	0	1	customisateur	1	1	total	float4
kpis.0071.01.01048	EUL_AVAILABILITY	edw_eriran_cellb_axe1	EUL (HSUPA) SERVICE AVAILABILITY	Percentage of the capture period during which the Eul service was available for service on the cell 	CASE WHEN (capture_duration_real-pmEulDowntimeAuto-pmEulDowntimeMan)/capture_duration_real*100>100 THEN 100 ELSE CASE WHEN (capture_duration_real-pmEulDowntimeAuto-pmEulDowntimeMan)/capture_duration_real*100<0 THEN 0 ELSE (capture_duration_real-pmEulDowntimeAuto-pmEulDowntimeMan)/capture_duration_real*100 END END	1	1	customisateur	1	1	total	float4
kpis.0071.01.01049	CELL_EUL_DOWNTIME_MANUAL	edw_eriran_cellb_axe1	CELL EUL (HSUPA) DOWNTIME MANUAL	Percentage of the capture period during which the Eul service in the cell has been unavailable because the system has considered the cell as down, for example, at least one of the MOs Eul, Hsdsch, UtranCell, Pch, Rach or Fach has been disabled while all these MOs have been unlocked. 	CASE WHEN pmEulDowntimeMan/capture_duration_real*100>100 THEN 100 ELSE pmEulDowntimeMan/capture_duration_real*100 END	1	1	customisateur	1	1	total	float4
kpis.0071.01.01257	CELL_EUL_DOWNTIME_MANUAL_DURATION	edw_eriran_cellb_axe1	CELL EUL (HSUPA) DOWNTIME MANUAL DURATION	Capture period during which the Eul service in the cell has been unavailable because the system has considered the cell as down, for example, at least one of the MOs Eul, Hsdsch, UtranCell, Pch, Rach or Fach has been disabled while all these MOs have been unlocked. 	pmEulDowntimeMan	0	1	customisateur	1	1	total	float4
kpis.0071.01.01050	CELL_EUL_DOWNTIME_SYSTEM	edw_eriran_cellb_axe1	CELL EUL (HSUPA) DOWNTIME SYSTEM	Percentage of the capture period during which the Eul service in the cell has been unavailable due to operator setting, for example, the operator has locked at least one of the MOs Eul, Hsdsch, UtranCell, Pch, Rach or Fach. 	CASE WHEN pmEulDowntimeAuto/capture_duration_real*100>100 THEN 100 ELSE pmEulDowntimeAuto/capture_duration_real*100 END	1	1	customisateur	1	1	total	float4
