id_flat_file	flat_file_name	flat_file_naming_template	on_off	alarm_missing_file_temporization	period_type	exclusion	prefix_counter	reference	ordre	data_collection_frequency	data_chunks	granularity
96	Cell Based - M3UA Link Measurement 67109482 - M3UA_LNK	pmresult_67109482_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
97	Cell Based - AAL2PATH ATM Layer Measurement 67109486 - AAL2PATH_ATM	pmresult_67109486_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
98	Cell Based - FEGE Ethernet Port Measurement 67109488 - FEGE	pmresult_67109488_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
99	Cell Based - IPPATH IP Layer Measurement 67109495 - IP_PATH_LAYER	pmresult_67109495_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
100	Cell Based - IP Transport Adjacent Node Resource Operation Measurement 67109500 - ANI_IP_TRM	pmresult_67109500_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
101	Cell Based - SAAL link ATM Layer Measurement 67109517 - SAAL_LNK_ATM	pmresult_67109517_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
102	Cell Based - Measurement related to Iu interface MOCN 67109526 - IU_MOCN	pmresult_67109526_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
103	Cell Based - Measurement of RAB assignment setup per PLMN 67109553 - RAB_ASS_SET_PLMN	pmresult_67109553_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
104	Cell Based - SCTP Link Measurement 67109468 - SCTP_LNK	pmresult_67109468_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
105	Cell Based - Measurement related to SCTP link IP layer 67109485 - SCTP_IP	pmresult_67109485_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
106	Cell Based - SCU Measurement 67109515 - SCU	pmresult_67109515_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
107	Cell Based - SCTPIP Measurement 67109469 - SCTPIP	pmresult_67109469_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
108	Cell Based - Measurement related to UNI link 67109456 - UNI_LINK	pmresult_67109456_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
109	Cell Based - PPP Link Measurement 67109491 - PPP_LINK	pmresult_67109491_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
110	Cell Based - NODEB OAM FLOW Measurement 67109538 - OAM_FLOW	pmresult_67109538_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
111	Cell Based - AAL2 Path Measurement 67109466 - AAL2_PATH	pmresult_67109466_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
112	Cell Based - Fractional ATM Link Measurement 67109398 - FRAC_ATM_LINK	pmresult_67109398_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
113	Cell Based - MP Group Measurement 67109490 - MP_GROUP	pmresult_67109490_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
114	Cell Based - Logical Port Measurement 67109524 - LOGIC_PORT	pmresult_67109524_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
115	Cell Based - Dual-Stack Transport Adjacent Node Measurement 67109480 - DUAL_STACK	pmresult_67109480_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
116	Cell Based - Dual-Stack Transport Adjacent Node QAAL2 Part Measurement 67109518 - DUAL_STACK_QAAL2	pmresult_67109518_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
117	Cell Based - ATM Logical Port Measurement 67109564 - ATM_LOGIC_PORT	pmresult_67109564_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
118	Cell Based - Measurement related to DSP performance 67109546 - DSP	pmresult_67109546_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
119	Cell Based - XPU Measurement 82833917 - XPU	pmresult_82833917_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
120	Cell Based - Measurement of active algorithm per PLMN 82833952 - ALGO_PLMN	pmresult_82833952_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
121	Cell Based - E1T1 Port Bit Error Measurement 82833951 - E1T1_PORT	pmresult_82833951_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
122	Cell Based - Measurement related to INT 82833961 - INT	pmresult_82833961_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
123	Cell Based - Channelized Optical Port Measurement 82834001 - CHAN_OPTICAL_PORT	pmresult_82834001_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
124	Cell Based - Optical Port Measurement 82834002 - OPTICAL_PORT	pmresult_82834002_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
125	Cell Based - Maximum flux of UOI board 82834003 - UOI_BOARD	pmresult_82834003_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
126	Cell Based - Roaming UE Registration Measurement Under MOCN 82863925 - ROAMING_UE_REG	pmresult_82863925_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
127	Cell Based - Measurements related to PTT 82863953 - PTT	pmresult_82863953_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
128	Cell Based - Measurement of Trunk Group Performance 82863915 - TRUNK	pmresult_82863915_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
129	Cell Based - EPCH Measurement per cell 82863949 - EPCH	pmresult_82863949_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
130	Cell Based - M3UA Destination Entity Measurement 67109484 - M3UA_DEST_ENT	pmresult_67109484_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
131	Cell Based - M3UA Link Set Measurement 67109483 - M3UA_LINK_SET	pmresult_67109483_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
132	Cell Based - IP Transport Adjacent Node Connection Measurement 67109481 - IP_TRANS_ADJ_CONN	pmresult_67109481_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
133	Cell Based - E1T1 Electronical Port Measurement 67109487 - E1T1_ELEC_PORT	pmresult_67109487_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
134	Cell Based - Fractional IMA Link Measurement 67109399 - FRAC_IMA_LINK	pmresult_67109399_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
135	Cell Based - Measurement related to IMS 67109449 - IMS	pmresult_67109449_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
136	Cell Based - IPoA Link Measurement 67109457 - IPOA_LINK	pmresult_67109457_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
137	Cell Based - Dual-Stack Transport Adjacent Node IP Part Measurement 67109479 - D_STACK_TRANS_ADJ	pmresult_67109479_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
138	Cell Based - Measurement related to RTP flux in IPPATH 67109534 - RTP_IPPATH	pmresult_67109534_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
139	Cell Based - Measurement Related to IPPM 67109539 - IPPM	pmresult_67109539_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
140	Cell Based - Logical Port Queue Measurement 67109541 - LOGIC_PORT_QUEUE	pmresult_67109541_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
141	Cell Based - MP Queue Measurement 67109542 - MP_QUEUE	pmresult_67109542_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
142	Cell Based - PPP Link Queue Measurement 67109543 - PPP_LINK_QUEUE	pmresult_67109543_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
143	Cell Based - Measurement related to MPU 67109537 - MPU	pmresult_67109537_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
144	Cell Based - SDH Measurement 67109496 - SDH	pmresult_67109496_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
145	Cell Based - VCACROSS Measurement 67109498 - VCACROSS	pmresult_67109498_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
