id_flat_file	flat_file_name	flat_file_naming_template	on_off	alarm_missing_file_temporization	period_type	exclusion	prefix_counter	reference	ordre	data_collection_frequency	data_chunks	granularity	custom_field_1	custom_field_2	custom_field_3
233	BSS - Radio link on TRX Measurement Function /  - radiomeas1_link	*radiomeas1_link*.csv	0	6	hour				1	1	24	hour			
234	BSS - 536870938 Receiving Quality Measurement / Full Rate Receiving Quality Measurement - receivingquality_fhrate	pmresult_536870938_[0-9]{2}_*[0-9]{12}.csv	0	6	hour		rcvq		1	1	24	hour			
190	BSS - 536870939 Receiving Quality Measurement Function / Half Rate Receiving Quality Measurement Function - receivingquality_hrate	pmresult_536870939_[0-9]{2}_*[0-9]{12}.csv	0	6	hour		rcvq2		1	1	24	hour			
218	BSSGPRS - 1275070017 Resource Measurement/Pb Interface Circuit Measurement per PCU - RM_PICM_PCU	pmresult_1275070017_[0-9]{2}_*[0-9]{12}.csv	0	6	hour		RM_PICM_PCU		1	1	24	hour			
182	BSSGPRS - Cell Performance Measurement / Resource Maintenance Performance Measurement  - rmpm	*rmpm.csv	0	6	hour				1	1	24	hour			
183	BSSTRX - 1275071635 RQI Measurement per TRX - RQIM_TRX	pmresult_1275071635_[0-9]{2}_*[0-9]{12}.csv	0	6	hour		RQIM_TRX		1	1	24	hour			
184	BSSGPRS - Cell Performance Measurement / Rate of Successful Packet Assignment - rspa	*rspa.csv	0	6	hour				1	1	24	hour			
192	BSS - 536870913 SCCP Measurement Function - SCCP_BSC	pmresult_536870913_[0-9]{2}_*[0-9]{12}.csv	0	6	hour		SCCP_BSC		1	1	24	hour			
58	BSSGPRS - 587202740 Cell Performance Measurement / Downlink TBF Establishment/Release Measurement - tbf_ermdownlink	pmresult_587202740_[0-9]{2}_*[0-9]{12}.csv	1	6	hour		tedl		1	1	24	hour			
59	BSSGPRS - 587202710 Cell Performance Measurement / Uplink TBF Establishment/Release Measurement - tbf_ermuplink	pmresult_587202710_[0-9]{2}_*[0-9]{12}.csv	1	6	hour		teul		1	1	24	hour			
164	BSSTRX - 1275071621 TCHF Receive Level Measurement per TRX - TCHFRLM_TRX	pmresult_1275071621_[0-9]{2}_*[0-9]{12}.csv	1	6	hour		TCHFRLM_TRX		1	1	24	hour			
165	BSSTRX - 1275071622 TCHH Receive Level Measurement per TRX - TCHHRLM_TRX	pmresult_1275071622_[0-9]{2}_*[0-9]{12}.csv	1	6	hour		TCHHRLM_TRX		1	1	24	hour			
185	BSSTRX - 1275071624 Uplink-and-Downlink Balance Measurement per TRX - UDBM_TRX	pmresult_1275071624_[0-9]{2}_*[0-9]{12}.csv	0	6	hour		UDBM_TRX		1	1	24	hour			
60	BSSGPRS - 587202830 Cell Performance Measurement / Uplink RLC Data Transmission Measurement - uplink_rlc_db	pmresult_587202830_[0-9]{2}_*[0-9]{12}.csv	1	6	hour		ulrd		1	1	24	hour			
61	BSSGPRS - 587202970 Cell Performance Measurement / Uplink EGPRS TBF Establishment/Release Measuremen - uplink_tbf_egprs	pmresult_587202970_[0-9]{2}_*[0-9]{12}.csv	1	6	hour		ulte		1	1	24	hour			
62	BSSGPRS - 587204560 Cell Performance Measurement / Uplink GMSK EGPRS RLC Data Retransmission Rate Measurement - uplink8psk_egprs_rlc_drrm	pmresult_587204560_[0-9]{2}_*[0-9]{12}.csv	1	6	hour		uerd		1	1	24	hour			
63	BSSGPRS - 587204570 Cell Performance Measurement / Uplink 8PSK EGPRS RLC data retransmission rate measurement - uplink8psk_egprs_rlc_drrm2	pmresult_587204570_[0-9]{2}_*[0-9]{12}.csv	1	6	hour		uerd2		1	1	24	hour			
64	BSSGPRS - 587203010 Cell Performance Measurement / Uplink EGPRS RLC data transmission measurement - uplink8psk_egprs_rlc_drrm3	pmresult_587203010_[0-9]{2}_*[0-9]{12}.csv	1	6	hour		uerd3		1	1	24	hour			
