id	id_page	id_elem	class_object	ligne	id_product
dshd.0095.01.003.gtm.01	dshd.0095.01.003	gtms.0095.01.00010	graph	1	1
seri.gtms.0095.01.00010.01	gtms.0095.01.00010	kpis.0095.01.03001	kpi	1	1
seri.gtms.0095.01.00010.02	gtms.0095.01.00010	kpis.0095.01.04002	kpi	2	1
dshd.0095.01.003.gtms.0095.01.sdcch_and_tch_assignment	dshd.0095.01.003	gtms.0095.01.sdcch_and_tch_assignment	graph	2	1
seri.gtms.0095.01.sdcch_and_tch_assignment.kpis.0095.01.00001	gtms.0095.01.sdcch_and_tch_assignment	kpis.0095.01.00001	kpi	1	1
seri.gtms.0095.01.sdcch_and_tch_assignment.kpis.0095.01.03001	gtms.0095.01.sdcch_and_tch_assignment	kpis.0095.01.03001	kpi	2	1
seri.gtms.0095.01.sdcch_and_tch_assignment.kpis.0095.01.00010	gtms.0095.01.sdcch_and_tch_assignment	kpis.0095.01.00010	kpi	3	1
seri.gtms.0095.01.sdcch_and_tch_assignment.kpis.0095.01.03003	gtms.0095.01.sdcch_and_tch_assignment	kpis.0095.01.03003	kpi	4	1
dshd.0095.01.003.gtms.0095.01.sdcch_blocking_and_drop	dshd.0095.01.003	gtms.0095.01.sdcch_blocking_and_drop	graph	3	1
seri.gtms.0095.01.sdcch_blocking_and_drop.kpis.0095.01.00001	gtms.0095.01.sdcch_blocking_and_drop	kpis.0095.01.00001	kpi	1	1
seri.gtms.0095.01.sdcch_blocking_and_drop.kpis.0095.01.06002	gtms.0095.01.sdcch_blocking_and_drop	kpis.0095.01.06002	kpi	2	1
seri.gtms.0095.01.sdcch_blocking_and_drop.kpis.0095.01.08003	gtms.0095.01.sdcch_blocking_and_drop	kpis.0095.01.08003	kpi	3	1
seri.gtms.0095.01.sdcch_blocking_and_drop.kpis.0095.01.06003	gtms.0095.01.sdcch_blocking_and_drop	kpis.0095.01.06003	kpi	4	1
dshd.0095.01.003.gtms.0095.01.call_blocking_and_drop	dshd.0095.01.003	gtms.0095.01.call_blocking_and_drop	graph	4	1
seri.gtms.0095.01.call_blocking_and_drop.kpis.0095.01.03001	gtms.0095.01.call_blocking_and_drop	kpis.0095.01.03001	kpi	1	1
seri.gtms.0095.01.call_blocking_and_drop.kpis.0095.01.03002	gtms.0095.01.call_blocking_and_drop	kpis.0095.01.03002	kpi	2	1
seri.gtms.0095.01.call_blocking_and_drop.kpis.0095.01.07013	gtms.0095.01.call_blocking_and_drop	kpis.0095.01.07013	kpi	3	1
seri.gtms.0095.01.call_blocking_and_drop.kpis.0095.01.04010	gtms.0095.01.call_blocking_and_drop	kpis.0095.01.04010	kpi	4	1
dshd.0095.01.003.gtm.03	dshd.0095.01.003	gtms.0095.01.00012	graph	5	1
seri.gtms.0095.01.00012.03	gtms.0095.01.00012	kpis.0095.01.03001	kpi	1	1
seri.gtms.0095.01.00012.kpis.0095.01.03002	gtms.0095.01.00012	kpis.0095.01.03002	kpi	2	1
seri.gtms.0095.01.00012.02	gtms.0095.01.00012	kpis.0095.01.04007	kpi	3	1
dshd.0095.01.001.gtm.01	dshd.0095.01.001	gtms.0095.01.00001	graph	1	1
seri.gtms.0095.01.00001.01	gtms.0095.01.00001	kpis.0095.01.00001	kpi	1	1
seri.gtms.0095.01.00001.02	gtms.0095.01.00001	kpis.0095.01.00010	kpi	2	1
dshd.0095.01.001.gtms.0095.01.sdcch_drop_causes	dshd.0095.01.001	gtms.0095.01.sdcch_drop_causes	graph	2	1
seri.gtms.0095.01.sdcch_drop_causes.kpis.0095.01.06002	gtms.0095.01.sdcch_drop_causes	kpis.0095.01.06002	kpi	1	1
seri.gtms.0095.01.sdcch_drop_causes.kpis.0095.01.06003	gtms.0095.01.sdcch_drop_causes	kpis.0095.01.06003	kpi	2	1
seri.gtms.0095.01.sdcch_drop_causes.kpis.0095.01.sdcch_drop_radio_rate	gtms.0095.01.sdcch_drop_causes	kpis.0095.01.sdcch_drop_radio_rate	kpi	3	1
seri.gtms.0095.01.sdcch_drop_causes.kpis.0095.01.sdcch_drop_ho_rate	gtms.0095.01.sdcch_drop_causes	kpis.0095.01.sdcch_drop_ho_rate	kpi	4	1
seri.gtms.0095.01.sdcch_drop_causes.kpis.0095.01.sdcch_drop_bss_rate	gtms.0095.01.sdcch_drop_causes	kpis.0095.01.sdcch_drop_bss_rate	kpi	5	1
seri.gtms.0095.01.sdcch_drop_causes.kpis.0095.01.sdcch_drop_others_rate	gtms.0095.01.sdcch_drop_causes	kpis.0095.01.sdcch_drop_others_rate	kpi	6	1
