id	id_page	id_elem	class_object	ligne	id_product
seri.gtms.0075.02.gprs_throughput.kpis.0075.02.18074	gtms.0075.02.gprs_throughput	kpis.0075.02.18074	kpi	1	1
seri.gtms.0075.02.gprs_throughput.kpis.0075.02.18075	gtms.0075.02.gprs_throughput	kpis.0075.02.18075	kpi	2	1
seri.gtms.0075.02.gprs_throughput.kpis.0075.02.18031	gtms.0075.02.gprs_throughput	kpis.0075.02.18031	kpi	3	1
seri.gtms.0075.02.gprs_throughput.kpis.0075.02.18034	gtms.0075.02.gprs_throughput	kpis.0075.02.18034	kpi	4	1
dshd.0075.02.003.gtms.0075.02.edge_throughput	dshd.0075.02.003	gtms.0075.02.edge_throughput	graph	2	1
seri.gtms.0075.02.edge_throughput.kpis.0075.02.18076	gtms.0075.02.edge_throughput	kpis.0075.02.18076	kpi	1	1
seri.gtms.0075.02.edge_throughput.kpis.0075.02.18077	gtms.0075.02.edge_throughput	kpis.0075.02.18077	kpi	2	1
seri.gtms.0075.02.edge_throughput.kpis.0075.02.18037	gtms.0075.02.edge_throughput	kpis.0075.02.18037	kpi	3	1
seri.gtms.0075.02.edge_throughput.kpis.0075.02.18040	gtms.0075.02.edge_throughput	kpis.0075.02.18040	kpi	4	1
dshd.0075.02.003.gtm.01	dshd.0075.02.003	gtms.0075.02.00005	graph	3	1
seri.gtms.0075.02.00005.01	gtms.0075.02.00005	kpis.0075.02.18017	kpi	1	1
seri.gtms.0075.02.00005.02	gtms.0075.02.00005	kpis.0075.02.18018	kpi	2	1
seri.gtms.0075.02.00005.03	gtms.0075.02.00005	kpis.0075.02.18013	kpi	3	1
seri.gtms.0075.02.00005.04	gtms.0075.02.00005	kpis.0075.02.18014	kpi	4	1
dshd.0075.02.003.gtm.02	dshd.0075.02.003	gtms.0075.02.00006	graph	4	1
seri.gtms.0075.02.00006.01	gtms.0075.02.00006	kpis.0075.02.18029	kpi	1	1
seri.gtms.0075.02.00006.02	gtms.0075.02.00006	kpis.0075.02.18030	kpi	2	1
seri.gtms.0075.02.00006.kpis.0075.02.18101	gtms.0075.02.00006	kpis.0075.02.18101	kpi	3	1
dshd.0075.02.004.gtm.01	dshd.0075.02.004	gtms.0075.02.00007	graph	1	1
seri.gtms.0075.02.00007.01	gtms.0075.02.00007	kpis.0075.02.18031	kpi	1	1
seri.gtms.0075.02.00007.02	gtms.0075.02.00007	kpis.0075.02.18034	kpi	2	1
seri.gtms.0075.02.00007.03	gtms.0075.02.00007	kpis.0075.02.18033	kpi	3	1
seri.gtms.0075.02.00007.04	gtms.0075.02.00007	kpis.0075.02.18036	kpi	4	1
dshd.0075.02.004.gtm.02	dshd.0075.02.004	gtms.0075.02.00008	graph	2	1
seri.gtms.0075.02.00008.01	gtms.0075.02.00008	kpis.0075.02.18037	kpi	1	1
seri.gtms.0075.02.00008.02	gtms.0075.02.00008	kpis.0075.02.18040	kpi	2	1
seri.gtms.0075.02.00008.03	gtms.0075.02.00008	kpis.0075.02.18039	kpi	3	1
seri.gtms.0075.02.00008.04	gtms.0075.02.00008	kpis.0075.02.18042	kpi	4	1
dshd.0075.02.005.gtm.01	dshd.0075.02.005	gtms.0075.02.00009	graph	1	1
seri.gtms.0075.02.00009.01	gtms.0075.02.00009	kpis.0075.02.18053	kpi	1	1
seri.gtms.0075.02.00009.02	gtms.0075.02.00009	kpis.0075.02.18054	kpi	2	1
seri.gtms.0075.02.00009.09	gtms.0075.02.00009	kpis.0075.02.18070	kpi	3	1
seri.gtms.0075.02.00009.10	gtms.0075.02.00009	kpis.0075.02.18071	kpi	4	1
seri.gtms.0075.02.00009.11	gtms.0075.02.00009	kpis.0075.02.18073	kpi	5	1
dshd.0075.02.006.gtm.01	dshd.0075.02.006	gtms.0075.02.00010	graph	1	1
seri.gtms.0075.02.00010.01	gtms.0075.02.00010	kpis.0075.02.18049	kpi	1	1
seri.gtms.0075.02.00010.02	gtms.0075.02.00010	kpis.0075.02.18051	kpi	2	1
seri.gtms.0075.02.00010.05	gtms.0075.02.00010	kpis.0075.02.18109	kpi	3	1
dshd.0075.02.006.gtms.0075.02.pdch_availability	dshd.0075.02.006	gtms.0075.02.pdch_availability	graph	2	1
seri.gtms.0075.02.pdch_availability.kpis.0075.02.18099	gtms.0075.02.pdch_availability	kpis.0075.02.18099	kpi	1	1
seri.gtms.0075.02.pdch_availability.kpis.0075.02.18101	gtms.0075.02.pdch_availability	kpis.0075.02.18101	kpi	2	1
seri.gtms.0075.02.pdch_availability.kpis.0075.02.18100	gtms.0075.02.pdch_availability	kpis.0075.02.18100	kpi	3	1
