id_data	data_legend	position_ordonnee	display_type	line_design	color	filled_color
seri.gtms.0075.01.00013.kpis.0075.01.inter_cell_intra_bsc_handovers_attempts_number	Inter-Cell Intra-BSC Handover Attempts Number (Nb)	right	line	circle	#333333	#ffffff@1
seri.gtms.0075.01.00013.01	Inter-Cell Intra-BSC Outgoing Handover Attempts Number (Nb)	right	cumulatedbar	none	#333333	#0099FF@0.5
seri.gtms.0075.01.00013.kpis.0075.01.12015	Inter-Cell Intra-BSC Incoming Handover Attempts Number (Nb)	right	cumulatedbar	none	#333333	#33FF00@0.5
seri.gtms.0075.01.00013.kpis.0075.01.inter_cell_intra_bsc_handovers_success_rate	Inter-Cell Intra-BSC Handover Success Rate (%)	left	line	circle	#FF0000	#ffffff@1
seri.gtms.0075.01.00013.kpis.0075.01.inter_cell_intra_bsc_outgoing_handover_success_rate	Inter-Cell Intra-BSC Outgoing Handover Success Rate (%)	left	line	circle	#0099FF	#ffffff@1
seri.gtms.0075.01.00013.kpis.0075.01.inter_cell_intra_bsc_incoming_handover_success_rate	Inter-Cell Intra-BSC Incoming Handover Success Rate (%)	left	line	circle	#33FF00	#ffffff@1
seri.gtms.0075.01.00014.kpis.0075.01.inter_cell_inter_bsc_handovers_attempts_number	Inter-Cell Inter-BSC Handover Attempts Number (Nb)	right	line	circle	#333333	#ffffff@1
seri.gtms.0075.01.00014.01	Inter-Cell Inter-BSC Outgoing Handover Attempts Number (Nb)	right	cumulatedbar	none	#333333	#0099FF@0.5
seri.gtms.0075.01.00014.kpis.0075.01.13012	Inter-Cell Inter-BSC Incoming Handover Attempts Number (Nb)	right	cumulatedbar	none	#333333	#33FF00@0.5
seri.gtms.0075.01.00014.kpis.0075.01.inter_cell_inter_bsc_handovers_success_rate	Inter-Cell Inter-BSC Handover Success Rate (%)	left	line	circle	#FF0000	#ffffff@1
seri.gtms.0075.01.00014.kpis.0075.01.inter_cell_inter_bsc_outgoing_handover_success_rate	Inter-Cell Inter-BSC Outgoing Handover Success Rate (%)	left	line	circle	#0099FF	#ffffff@1
seri.gtms.0075.01.00014.kpis.0075.01.inter_cell_inter_bsc_incoming_handover_success_rate	Inter-Cell Inter-BSC Incoming Handover Success Rate (%)	left	line	circle	#33FF00	#ffffff@1
seri.gtms.0075.01.cell_availability.kpis.0075.01.cell_unavailable_time	Cell Unavailable Time (s)	right	bar	none	#333333	#0099FF@0.5
seri.gtms.0075.01.cell_availability.kpis.0075.01.cell_availability	Cell Availability (%)	left	line	square	#ff0000	#FFFFFF@1
seri.gtms.0075.01.00015.01	TRX Defined Number (Nb)	right	bar	none	#333333	#0099FF@0.5
seri.gtms.0075.01.00015.02	TRX Available Number (Nb)	right	bar	none	#333333	#FFAA00@0.5
seri.gtms.0075.01.00015.03	TRX Availability (%)	left	line	square	#ff0000	#FFFFFF@1
seri.gtms.0075.01.00017.01	TCH Defined Number (Nb)	right	bar	none	#333333	#0099FF@0.5
seri.gtms.0075.01.00017.02	TCH Available Number (Nb)	right	bar	none	#333333	#FFAA00@0.5
seri.gtms.0075.01.00017.03	TCH Availability (%)	left	line	square	#ff0000	#FFFFFF@1
seri.gtms.0075.01.00018.01	SDCCH Defined Number (Nb)	right	bar	none	#333333	#0099FF@0.5
seri.gtms.0075.01.00018.02	SDCCH Available Number (Nb)	right	bar	none	#333333	#FFAA00@0.5
seri.gtms.0075.01.00018.03	SDCCH Availability (%)	left	line	square	#ff0000	#FFFFFF@1
seri.gtms.0075.01.00019.01	TCH Traffic Utilization At 2% GOS (%)	left	line	square	#9933FF	#FFFFFF@1
seri.gtms.0075.01.00019.02	TCH Traffic Carried Total (erlang)	right	bar	none	#333333	#0099FF@0.5
seri.gtms.0075.01.00019.03	TCH Traffic Offered 2% GOS (erlang)	right	bar	none	#333333	#FFFF00@0.5
seri.gtms.0075.01.00019.04	TCH Traffic Capacity at 2% GOS (erlang)	right	bar	none	#333333	#FF0000@0.5
seri.gtms.0075.01.00021.01	TCH Required Channels at 2% GOS (Nb)	right	bar	none	#333333	#0099FF@0.5
seri.gtms.0075.01.00021.02	TCH Grade Of Service (%)	left	line	circle	#FF0000	#FFFFFF@1
seri.gtms.0075.03.00001.01	Neighbour Handover attempts (Nb)	right	line	circle	#333333	#ffffff@1
seri.gtms.0075.03.00001.02	TooLowQualUp Rate (%)	left	cumulatedbar	none	#333333	#808080@0.5
seri.gtms.0075.03.00001.03	TooLowLevUp Rate (%)	left	cumulatedbar	none	#333333	#FF0000@0.5
seri.gtms.0075.03.00001.04	TooLowQualDown Rate (%)	left	cumulatedbar	none	#333333	#0099FF@0.5
seri.gtms.0075.03.00001.05	TooLowLevDown Rate (%)	left	cumulatedbar	none	#333333	#FFFF00@0.5
seri.gtms.0075.03.00001.06	TooLongDistance Rate (%)	left	cumulatedbar	none	#333333	#AAAA00@0.5
seri.gtms.0075.03.00001.07	MSC TRIG Rate (%)	left	cumulatedbar	none	#333333	#FFAA00@0.5
seri.gtms.0075.03.00001.08	TooHighLevInterfUp Rate (%)	left	cumulatedbar	none	#333333	#0026b4@0.5
seri.gtms.0075.03.00001.09	TooHighLevInterfDown Rate (%)	left	cumulatedbar	none	#333333	#AA0000@0.5
seri.gtms.0075.03.00001.10	TooLowPowBudg Rate (%)	left	cumulatedbar	none	#333333	#FF0055@0.5
seri.gtms.0075.03.00001.11	HighLevNeigCellPrefBand Rate (%)	left	cumulatedbar	none	#333333	#FF0099@0.5
seri.gtms.0075.03.00001.12	ConsBadSACCHmicroCell Rate (%)	left	cumulatedbar	none	#333333	#006600@0.5
seri.gtms.0075.03.00001.13	TooLowLevUpMicroCell Rate (%)	left	cumulatedbar	none	#333333	#FF5500@0.5
seri.gtms.0075.03.00001.14	TooLowLevDownMicroCell Rate (%)	left	cumulatedbar	none	#333333	#AA7000@0.5
seri.gtms.0075.03.00001.15	HighLevNeigLowCellSlowMS Rate (%)	left	cumulatedbar	none	#333333	#AA3200@0.5
seri.gtms.0075.03.00001.16	TooLowLevUpInZone Rate (%)	left	cumulatedbar	none	#333333	#009999@0.5
seri.gtms.0075.03.00001.17	TooLowLevDownInZone Rate (%)	left	cumulatedbar	none	#333333	#AA0032@0.5
