id_data	data_legend	position_ordonnee	display_type	line_design	color	filled_color
seri.gtms.0095.01.inter_cell_inter_bsc_handovers.kpis.0095.01.inter_cell_inter_bsc_incoming_handover_success_rate	Inter-Cell Inter-BSC Incoming Handover Success Rate (%)	left	line	circle	#33FF00	#ffffff@1
seri.gtms.0095.01.cell_availability.kpis.0095.01.cell_unavailable_time	Cell Unavailable Time (s)	right	bar	none	#333333	#0099FF@0.5
seri.gtms.0095.01.cell_availability.kpis.0095.01.cell_availability	Cell Availability (%)	left	line	square	#ff0000	#FFFFFF@1
seri.gtms.0095.01.trx_availability.kpis.0095.01.number_of_trx_defined	TRX Defined Number (Nb)	right	bar	none	#333333	#0099FF@0.5
seri.gtms.0095.01.trx_availability.kpis.0095.01.number_of_trx_available	TRX Available Number (Nb)	right	bar	none	#333333	#FFAA00@0.5
seri.gtms.0095.01.trx_availability.kpis.0095.01.trx_availability	TRX Availability (%)	left	line	square	#ff0000	#FFFFFF@1
seri.gtms.0095.01.tch_availability.kpis.0095.01.av_nb_tch_defined	TCH Defined Number (Nb)	right	bar	none	#333333	#0099FF@0.5
seri.gtms.0095.01.tch_availability.kpis.0095.01.av_nb_avail_tch	TCH Available Number (Nb)	right	bar	none	#333333	#FFAA00@0.5
seri.gtms.0095.01.tch_availability.kpis.0095.01.tch_availability	TCH Availability (%)	left	line	square	#ff0000	#FFFFFF@1
seri.gtms.0095.01.sdcch_availability.kpis.0095.01.av_nb_sdcch_defined	SDCCH Defined Number (Nb)	right	bar	none	#333333	#0099FF@0.5
seri.gtms.0095.01.sdcch_availability.kpis.0095.01.av_nb_avail_sdcch	SDCCH Available Number (Nb)	right	bar	none	#333333	#FFAA00@0.5
seri.gtms.0095.01.sdcch_availability.kpis.0095.01.sdcch_availability	SDCCH Availability (%)	left	line	square	#ff0000	#FFFFFF@1
