RNCs;Cells Label;Cells
BHERNC4;UBH01N;BHERNC4_UBH01N
BHERNC4;UBH01L;BHERNC4_UBH01L
BHERNC4;UBH01K;BHERNC4_UBH01K
BHERNC4;UBH01I;BHERNC4_UBH01I
BHERNC4;UBH01H;BHERNC4_UBH01H
BHERNC4;UBH01C;BHERNC4_UBH01C
BHERNC4;UBH01B;BHERNC4_UBH01B
BHERNC4;UBH01A;BHERNC4_UBH01A
BHERNC4;UZK08L;BHERNC4_UZK08L
BHERNC4;UZK08K;BHERNC4_UZK08K
BHERNC4;UZK08J;BHERNC4_UZK08J
BHERNC4;UZK08I;BHERNC4_UZK08I
BHERNC4;UZK08H;BHERNC4_UZK08H
BHERNC4;UZK08G;BHERNC4_UZK08G
BHERNC4;UZK07L;BHERNC4_UZK07L
BHERNC4;UZK07K;BHERNC4_UZK07K
BHERNC4;UZK07J;BHERNC4_UZK07J
BHERNC4;UZK07I;BHERNC4_UZK07I
BHERNC4;UZK07H;BHERNC4_UZK07H
BHERNC4;UZK07G;BHERNC4_UZK07G
BHERNC4;UZK07C;BHERNC4_UZK07C
BHERNC4;UZK07B;BHERNC4_UZK07B
BHERNC4;UZK07A;BHERNC4_UZK07A
BHERNC4;UZK02P;BHERNC4_UZK02P
BHERNC4;UZK02N;BHERNC4_UZK02N
BHERNC4;UZK02M;BHERNC4_UZK02M
BHERNC4;UZK02L;BHERNC4_UZK02L
BHERNC4;UZK02K;BHERNC4_UZK02K
BHERNC4;UZK02J;BHERNC4_UZK02J
BHERNC4;UZK02I;BHERNC4_UZK02I
BHERNC4;UZK02H;BHERNC4_UZK02H
BHERNC4;UZK02G;BHERNC4_UZK02G
BHERNC4;UZK02C;BHERNC4_UZK02C
BHERNC4;UZK02B;BHERNC4_UZK02B
BHERNC4;UZK02A;BHERNC4_UZK02A
BHERNC4;UZK01G;BHERNC4_UZK01G
BHERNC4;UZK01H;BHERNC4_UZK01H
BHERNC4;UZK01I;BHERNC4_UZK01I
BHERNC4;UZK01J;BHERNC4_UZK01J
BHERNC4;UZK01K;BHERNC4_UZK01K
BHERNC4;UZK01L;BHERNC4_UZK01L
BHERNC4;UTC01L;BHERNC4_UTC01L
BHERNC4;UTC01K;BHERNC4_UTC01K
BHERNC4;UTC01J;BHERNC4_UTC01J
BHERNC4;UTC01I;BHERNC4_UTC01I
BHERNC4;UTC01H;BHERNC4_UTC01H
BHERNC4;UTC01G;BHERNC4_UTC01G
BHERNC4;UTC01C;BHERNC4_UTC01C
BHERNC4;UTC01B;BHERNC4_UTC01B
BHERNC4;UTC01A;BHERNC4_UTC01A
BHERNC4;UZK01B;BHERNC4_UZK01B
BHERNC4;UZK01C;BHERNC4_UZK01C
BHERNC4;UZK01A;BHERNC4_UZK01A
BHERNC4;UOS07G;BHERNC4_UOS07G
BHERNC4;UAZ03C;BHERNC4_UAZ03C
BHERNC4;UTH01I;BHERNC4_UTH01I
BHERNC4;UTH01H;BHERNC4_UTH01H
BHERNC4;UTH01G;BHERNC4_UTH01G
BHERNC4;UTH01C;BHERNC4_UTH01C
BHERNC4;UTH01B;BHERNC4_UTH01B
BHERNC4;UTH01A;BHERNC4_UTH01A
BHERNC4;UPP01I;BHERNC4_UPP01I
BHERNC4;UPP01H;BHERNC4_UPP01H
BHERNC4;UPP01G;BHERNC4_UPP01G
BHERNC4;UPP01C;BHERNC4_UPP01C
BHERNC4;UPP01B;BHERNC4_UPP01B
BHERNC4;UPP01A;BHERNC4_UPP01A
BHERNC4;UKI01I;BHERNC4_UKI01I
BHERNC4;UKI01H;BHERNC4_UKI01H
BHERNC4;UKI01G;BHERNC4_UKI01G
BHERNC4;UKI01C;BHERNC4_UKI01C
BHERNC4;UKI01B;BHERNC4_UKI01B
BHERNC4;UKI01A;BHERNC4_UKI01A
BHERNC4;UAZ03B;BHERNC4_UAZ03B
BHERNC4;UAZ03A;BHERNC4_UAZ03A
BHERNC4;UBN01G;BHERNC4_UBN01G
BHERNC4;UKM05M;BHERNC4_UKM05M
BHERNC4;UKM05L;BHERNC4_UKM05L
BHERNC4;UKM05K;BHERNC4_UKM05K
BHERNC4;UKM05J;BHERNC4_UKM05J
BHERNC4;UKM05I;BHERNC4_UKM05I
BHERNC4;UKM05H;BHERNC4_UKM05H
BHERNC4;UKM05G;BHERNC4_UKM05G
BHERNC4;UKM05C;BHERNC4_UKM05C
BHERNC4;UKM05B;BHERNC4_UKM05B
BHERNC4;UKM05A;BHERNC4_UKM05A
BHERNC4;UZG09A;BHERNC4_UZG09A
BHERNC4;UZG09B;BHERNC4_UZG09B
BHERNC4;UZG09C;BHERNC4_UZG09C
BHERNC4;UZG09G;BHERNC4_UZG09G
BHERNC4;UZG09H;BHERNC4_UZG09H
BHERNC4;UZG09I;BHERNC4_UZG09I
BHERNC4;UZG09J;BHERNC4_UZG09J
